rank,term,frequency,category,length
566,경추후궁성형술,7,구체적수술시술,7
567,압력철선,7,상세해부구조,4
568,비관혈관절,7,상세해부구조,5
569,비관혈관절수동술,7,구체적수술시술,8
570,기관지확장술,7,구체적수술시술,6
571,간접열량측정,7,전문검사진단,6
572,조절마비굴절검사,7,전문검사진단,8
573,부비강입구부경검사,7,전문검사진단,9
574,경부림프절청소술,7,구체적수술시술,8
575,비촉지유방종양침위치결정술,7,구체적수술시술,13
576,전립선질환,7,복합질병명,5
577,종합전문요양기,7,의료기기치료재료,7
578,처우개선,7,상세해부구조,4
579,고주파열치료술,7,구체적수술시술,7
580,피부각질세포,7,상세해부구조,6
581,기능적전기,7,의료기기치료재료,5
582,망막전위도검사,7,전문검사진단,7
583,서혜부허니아근본수술,7,구체적수술시술,10
584,경피적관상동맥확장술,7,구체적수술시술,10
585,형광면역분석,7,전문검사진단,6
586,수면무호흡증후군,7,복합질병명,8
587,보험인정기,7,의료기기치료재료,5
588,내분비검사,7,전문검사진단,5
589,미생물현미경검사,7,전문검사진단,8
590,Chronic Obstructive Lung Disease,7,영문복합의학용어,32
591,세포유전학검사,7,전문검사진단,7
592,비골골절교정술,7,구체적수술시술,7
593,심도자용카테터,7,의료기기치료재료,7
594,심도자검사,7,전문검사진단,5
595,Electrode Catheter,7,영문복합의학용어,18
596,소장이중조영,7,전문검사진단,6
597,소장이중조영술,7,구체적수술시술,7
598,가온가습고유량비강캐뉼라요법,7,구체적수술시술,14
599,기관지내시경술,7,구체적수술시술,7
600,바이러스항원검사,7,전문검사진단,8
601,하비갑개점막하절제술,7,구체적수술시술,10
602,뇌순환개선,7,상세해부구조,5
603,Abrocitinib,6,영문약물명,11
604,알레르기내과,6,기타전문용어,6
605,면역억제요법,6,구체적수술시술,6
606,아달라트오로스,6,기타전문용어,7
607,Nifedipine,6,영문약물명,10
608,다기관염증증후군,6,복합질병명,8
609,후천성면역결핍증,6,복합질병명,8
610,길랑바레증후군,6,복합질병명,7
611,적합성평가,6,전문검사진단,5
612,싸이메빈정,6,기타전문용어,5
613,사용하기,6,의료기기치료재료,4
614,후두전적출술,6,구체적수술시술,6
615,인공성대삽입술,6,구체적수술시술,7
616,진단검사의학과,6,기타전문용어,7
617,대동맥내풍선,6,상세해부구조,6
618,심박동기,6,의료기기치료재료,4
619,클래리시드필름코팅,6,기타전문용어,9
620,심장혈관흉부외과,6,상세해부구조,8
621,노보세븐알티,6,기타전문용어,6
622,투여하기,6,의료기기치료재료,4
623,Esomeprazole,6,영문약물명,12
624,두드러기,6,의료기기치료재료,4
625,상결장경검사,6,전문검사진단,6
626,뇌하수체기,6,의료기기치료재료,5
627,뇌정위적수술,6,구체적수술시술,6
628,뇌질환과,6,기타전문용어,4
629,탈수초성질환,6,복합질병명,6
630,말초혈액검사,6,전문검사진단,6
631,관상동맥확장술,6,구체적수술시술,7
632,루베리스,6,기타전문용어,4
633,킨텔레스,6,기타전문용어,4
634,관상동맥우회술,6,구체적수술시술,7
635,말초동맥질환,6,복합질병명,6
636,호흡기질환,6,복합질병명,5
637,피부묘기,6,의료기기치료재료,4
638,산소포화도측정,6,전문검사진단,7
639,뇌정위적방사선분할수술,6,구체적수술시술,11
640,삼첨판막,6,상세해부구조,4
641,신경차단술과,6,상세해부구조,6
642,척수신경말초지차단술,6,구체적수술시술,10
643,해소하기,6,의료기기치료재료,4
644,중앙집중관찰,6,전문검사진단,6
645,중앙집중관찰시스템,6,의료기기치료재료,9
646,세포내시경검사,6,전문검사진단,7
647,상부소화관내시경검사,6,전문검사진단,10
648,방사면역측정,6,전문검사진단,6
649,자궁근종절제술,6,구체적수술시술,7
650,비뇨의학과,6,기타전문용어,5
651,방광내압측정,6,전문검사진단,6
